Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WuOWVnAqvEQxgSRrspBgt,"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","HEROES & VILLAINS","Metro Boomin,Travis Scott,21 Savage",2022-12-02,207306,77,true,,1970-01-01T00:00:00Z,"rap","Republic Records",0.667,0.648,2,-5.117,1,0.284,0.175,0.000155,0.147,0.254,87.975,4
spotify:track:6cRyy0XvzIdbSNzjYAOoFf,"zumzumzum","zumzumzum","Teto",2024-01-31,150000,62,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip-hop brasileiro","30PRAUM",0.849,0.521,8,-7.287,0,0.474,0.409,0,0.322,0.364,80.001,4
spotify:track:2gAGWaK4wvt2xrFUlR4mK8,"Jukebox Joints (feat. Joe Fox & Kanye West)","AT.LONG.LAST.A$AP","A$AP Rocky,Joe Fox,Kanye West",2015-05-26,323960,78,true,,1970-01-01T00:00:00Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.284,0.803,2,-5.293,0,0.173,0.302,0,0.242,0.553,67.536,4
spotify:track:52eIcoLUM25zbQupAZYoFh,"redrum","american dream","21 Savage",2024-01-12,270697,83,true,,1970-01-01T00:00:00Z,"","Slaughter Gang, LLC/Epic Records",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
spotify:track:3dnP0JxCgygwQH9Gm7q7nb,"Ella Baila Sola","Ella Baila Sola","Eslabon Armado,Peso Pluma",2023-03-16,165671,80,false,,1970-01-01T00:00:00Z,"corridos tumbados,sierreño melancólico,corrido,sierreño,música mexicana,corridos bélicos,corridos eletro,banda","DEL Records",0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Too Many Nights (feat. Don Toliver & with Future)","HEROES & VILLAINS","Metro Boomin,Future,Don Toliver",2022-12-02,199920,86,true,,1970-01-01T00:00:00Z,"rap","Republic Records",0.573,0.668,7,-4.356,0,0.0467,0.189,0.0000401,0.109,0.145,87.973,4
spotify:track:6jlG8gBPNAgBgoivw2Ig09,"DEVIL IS A LIE","DEVIL IS A LIE","Tommy Richman",2024-06-14,130944,78,true,,1970-01-01T00:00:00Z,"","PULSE Records",0.904,0.452,9,-7.272,1,0.132,0.174,0,0.115,0.613,90.026,4
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,"All Falls Down","The College Dropout","Kanye West,Syleena Johnson",2004-02-10,223506,84,true,,1970-01-01T00:00:00Z,"rap,neo-soul","Roc-A-Fella",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,93,true,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:3uP7QdN98vyLwozqcKjdvk,"TWËRK ÏT )","TWËRK ÏT )","BIGBOY300,(PROD.NOEVDV)",2024-02-05,139786,0,false,,1970-01-01T00:00:00Z,"","300 PROD",0.681,0.491,4,-9.394,0,0.251,0.109,0.0000268,0.119,0.0872,76.065,4
