Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2gsNpSn7VvvJuSrIDfRoYy,"Kamikaze","Kamikaze","Eminem",2018-08-31,216029,62,true,,2018-12-24T11:07:17Z,"rap,hip-hop","Aftermath",0.78,0.808,2,-5.175,1,0.484,0.112,0,0.329,0.642,79.982,4
spotify:track:6ZWr4ogmKx2JlY6YOTcnON,"Mesa 8","Mesa 8","Wet Bed Gang",2018-07-20,214819,0,false,,2018-12-24T11:07:17Z,"hip-hop português","Wet Bed Gang",0.791,0.822,1,-2.814,0,0.169,0.347,0.000104,0.217,0.279,110.017,4
spotify:track:0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,85,true,,2018-12-24T11:07:17Z,"emo rap","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
spotify:track:0s3nnoMeVWz3989MkNQiRf,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-05-23,239835,3,true,,2018-12-24T11:07:17Z,"rap melódico,emo rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
spotify:track:7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,83,true,,2018-12-24T11:07:17Z,"rap melódico","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
spotify:track:2z8miBNCvH52PnK5vfeXm8,"1100 Cegonhas","1100 Cegonhas","Dillaz",2018-06-12,235200,1,true,,2018-12-24T11:07:17Z,"hip-hop português,punta","Yellow Submarine",0.817,0.525,8,-9.495,1,0.136,0.0805,0.00000156,0.137,0.286,100.112,4
spotify:track:0e7ipj03S05BNilyu5bRzt,"rockstar (feat. 21 Savage)","beerbongs & bentleys","Post Malone,21 Savage",2018-04-27,218146,85,true,,2018-12-24T11:07:17Z,"","Republic Records",0.585,0.52,5,-6.136,0,0.0713,0.124,0.0000775,0.131,0.129,159.798,4
spotify:track:3h8nYxuYdcjCxLKoQhQYpD,"És Tão Sensual","Eternamente Teu","Toy",2002,240773,44,false,,2018-12-24T11:07:17Z,"","Espacial",0.89,0.832,6,-4.435,0,0.0327,0.278,0,0.0527,0.96,131.01,4
spotify:track:7JSvz1VaPKZzQ0gRJkW95x,"Prova dos 9","Prova dos 9","Piruka",2018-07-20,210000,32,true,,2018-12-24T11:07:17Z,"hip-hop português","808 Music",0.709,0.472,8,-10.651,0,0.414,0.606,0,0.111,0.312,120.022,4
spotify:track:53LuRRfv4dBFVLo8G2TkTu,"As Coisas","Check-In","Valas",2018-06-01,236700,51,false,,2018-12-24T11:07:17Z,"hip-hop português","Universal Music Portugal SA",0.622,0.676,2,-5.702,0,0.405,0.0707,0,0.0888,0.666,84.324,4
spotify:track:17sovXlAoPWWVJoPTn6Noo,"Roleta Russa","Serviço Público","Valete",2006-10-24,417080,0,false,,2018-12-24T11:07:17Z,"hip-hop português","Footmovin'",0.564,0.37,9,-7.594,1,0.416,0.254,0,0.571,0.557,75.833,4
