track_name,artist_name,playlists
Com Fianca,"Alcool Club,Stag One,Tilt",
Atalhos,"Alcool Club,Tom",
Sitio Onde Nunca Sai,"Alcool Club,Uno,Sara D. Francisco",
Monsters (feat. blackbear),"All Time Low,blackbear",
Bandido Velho,Allen Halloween,
Ze Maluco,Allen Halloween,
Cobradores de Impostos,Allen Halloween,
Crescer,Allen Halloween,
Na Porta do Bar - Live,Allen Halloween,
Marmita Boy,Allen Halloween,
Youth,Allen Halloween,
Gangs de Lisboa,"Allen Halloween,Drunk Master,Ka Tha Brabo,Di Meu,Tretas,Buts Mc,Dom Mac 1º,RP,Johnny Ganza,Wil,Maradox 1º",
Varias Vidas,"Allen Halloween,Drunk Master,Ka Tha Brabo,Dom Mac 1,RP,Johnny Ganza,Jeremy,Buts Mc",
Bitch Nigga,"Allen Halloween,Jeremy,Drunk Master",
Livre-Arbitrio o Ultimo Mundo,"Allen Halloween,Kapataz,Krazye Loko,Kosmikilla,Bottle,Landin KS,J-Cap,Prophecy,Kinous",
Fly Nigga,"Allen Halloween,Maradox 1º",
No Love,"Allen Halloween,Maradox 1º",
Dia de Um Dread de 16 Anos,"Allen Halloween,Maradox 1º",
Rap de Rua,"Allen Halloween,Toni Bella",
I Need A Dollar,Aloe Blacc,
Saber de Mim,"Amaro,SPLIFF,Zeca",
Shimmy,Amine,
Arc de Triomphe,Amine,
Mrs. Clean,Amine,
REEL IT IN,Amine,
Yellow,"Amine,Nelly",
Trem-Bala,Ana Vilela,
Tempo Antigo,"Apollo G,Garry",
Sei-te de Cor,Aragao,
Clima,Aragao,
Brindar,Aragao,
Tranquilo,Aragao,
R U Mine?,Arctic Monkeys,
505,Arctic Monkeys,
I Wanna Be Yours,Arctic Monkeys,
Why'd You Only Call Me When You're High?,Arctic Monkeys,
Do I Wanna Know?,Arctic Monkeys,
Into You,Ariana Grande,
Transform3r,AutoTuna,
I Know,Azart,
Nothin' on You (feat. Bruno Mars),"B.o.B,Bruno Mars",
Welcome to Chilis,"BABY GRAVY,Yung Gravy,bbno$",
iunno,"BABY GRAVY,Yung Gravy,bbno$",
TWERK IT ),"BIGBOY300,(PROD.NOEVDV)",
Dior,"BIN,Major RD,Mainstreet,Ajaxx",
STATS,Baby Keem,
ORANGE SODA,Baby Keem,
HONEST,Baby Keem,
no sense,Baby Keem,
family ties (with Kendrick Lamar),"Baby Keem,Kendrick Lamar",
The Hillbillies,"Baby Keem,Kendrick Lamar",
Fast Lane,Bad Meets Evil,
O Convite,"Bangaladex,DJ Sas,Ciryllo",
Costa Rica,Bankrol Hayden,
Come Through (feat. Lil Tecca),"Bankrol Hayden,Lil Tecca",
Brothers (feat. Luh Kel),"Bankrol Hayden,Luh Kel",
Kimbara,Barry Can't Swim,
Always Get Through To You,Barry Can't Swim,
How It Feels,Barry Can't Swim,
The Jackie (with J. Cole & Lil Tjay),"Bas,J. Cole,Lil Tjay",
Curse,"Bass Santana,XXXTENTACION,Cooliecut,Kin$oul",
One Way Flight (feat. Freddie Gibbs),"Benny The Butcher,Freddie Gibbs",
Plug Talk (feat. 2 Chainz),"Benny The Butcher,Harry Fraud,2 Chainz",
Johnny P's Caddy,"Benny The Butcher,J. Cole",
Tem Coca Ai Na Geladeira,Bezerra Da Silva,
9 Times Out Of 10 (feat. Lil Baby),"Big Havi,Lil Baby",
The Enemy (feat. Fat Joe),"Big L,Fat Joe",
Man's Not Hot,Big Shaq,
Ain't No Sunshine,Bill Withers,
Just the Two of Us,"Bill Withers,Grover Washington Jr.",
Real Milf Hours,Billy Marchiafava,
Locco,Biscits,
Vai Devagar,Bispo,
S2,Bispo,
Dinamico,Bispo,
Lembrei-me,Bispo,
Nao Fui Sincero,Bispo,
Nao Tou Sozinho,Bispo,
Mais Antigo,Bispo,
Influencer,"Bispo,D'ay",
