Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4FmCUATNIarCQh72JYdvnm,That's Life,That's Life,Frank Sinatra,1966-11,187040,75,FALSE,,1970-01-01T00:00:00Z,"natal,big band,adult standards,música swing,jazz,vozes do jazz",FRANK SINATRA DIGITAL REPRISE,0.56,0.434,4,-14.151,0,0.0729,0.55,0,0.346,0.664,112.803,3
spotify:track:00R0fEFZGb5hyTgF1nrRCq,Look Over Your Shoulder (feat. Kendrick Lamar),Extinction Level Event 2: The Wrath of God,"Busta Rhymes,Kendrick Lamar",30/10/2020,248810,52,TRUE,,1970-01-01T00:00:00Z,"hip-hop da Costa Leste,hip-hop,hip-hop da Costa Oeste","The Conglomerate Entertainment, Inc. / EMPIRE",0.6,0.887,0,-4.345,1,0.311,0.0438,0,0.68,0.681,77.896,4
spotify:track:0dLrhO7oCMp0hQvXAUgbaC,Saudade,Reflexo,Dillaz,26/05/2016,306733,52,FALSE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Seventy Five,0.535,0.298,8,-13.671,0,0.432,0.608,0.0000163,0.111,0.588,68.337,4
spotify:track:3fYptFSlH8Xs7Uoybytyrm,Arose,Revival,Eminem,15/12/2017,274626,51,TRUE,,1970-01-01T00:00:00Z,"rap,hip-hop",Aftermath,0.532,0.906,4,-6.118,0,0.446,0.168,0,0.14,0.547,140.684,1
spotify:track:40ijlFtuamT3J2zR2mwfmm,Will,ADHD,Joyner Lucas,25/03/2020,201395,45,FALSE,,1970-01-01T00:00:00Z,,Twenty Nine Music Group (Joyner Lucas),0.776,0.665,9,-7.454,0,0.145,0.0623,0.145,0.121,0.381,142.935,4
spotify:track:6Utnd835UIJw9bZAukiK57,Bandido Velho,Hibrido,Allen Halloween,18/08/2015,252600,44,FALSE,,1970-01-01T00:00:00Z,hip-hop português,2015 HALLOWEEN,0.498,0.636,0,-7.052,1,0.116,0.648,0,0.206,0.215,127.564,4
spotify:track:1lOe9qE0vR9zwWQAOk6CoO,Ransom,We Love You Tecca,Lil Tecca,30/08/2019,131240,88,TRUE,,1970-01-01T00:00:00Z,"rap melódico,rap",Republic Records,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
spotify:track:0AhrTX6TszxuoDjfOSprlz,Stan,The Marshall Mathers LP,"Eminem,Dido",20/08/2001,404106,56,TRUE,,1970-01-01T00:00:00Z,"rap,hip-hop",Aftermath,0.78,0.768,6,-4.325,0,0.238,0.0371,0.00000234,0.518,0.507,80.063,4
spotify:track:0gzwa0yJncSs29DjXajA5i,Tou Bem (feat. Lhast),#FFFFFF,"ProfJam,Lhast",22/02/2019,191679,50,FALSE,,1970-01-01T00:00:00Z,hip-hop português,ProfJam,0.637,0.366,4,-12.863,0,0.425,0.411,0,0.0991,0.332,131.138,4
spotify:track:1RiROn4bllPstgNhZNmZqV,Bounce,Bounce,Chippie,27/03/2020,242712,25,FALSE,,1970-01-01T00:00:00Z,hip-hop português,Chippie,0.73,0.563,1,-14.088,1,0.413,0.479,0,0.0927,0.148,94.574,4
spotify:track:1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),The Off-Season,"J. Cole,21 Savage,Morray",14/05/2021,218801,75,TRUE,,1970-01-01T00:00:00Z,rap,"Dreamville, Inc., Under exclusive license to Roc Nation Records",0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,4
spotify:track:1mavQ4WCzXSeL2Dm5DS4GQ,Legacy,The Marshall Mathers LP2 (Deluxe),Eminem,05/11/2013,296269,58,TRUE,,1970-01-01T00:00:00Z,"rap,hip-hop",Aftermath,0.664,0.899,9,-3.711,0,0.474,0.276,0,0.197,0.534,164.125,4
spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,Alright,To Pimp A Butterfly,Kendrick Lamar,16/03/2015,219333,84,TRUE,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste",Aftermath,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
spotify:track:2pIVka1wjuiH52VnXwxgxQ,Várias Vidas,Projecto Mary Witch,"Allen Halloween,Drunk Master,Ka Tha Brabo,Dom Mac 1,RP,Johnny Ganza,Jeremy,Buts Mc",04/10/2006,371280,33,TRUE,,1970-01-01T00:00:00Z,"hip-hop português,gabber",Sonoterapia,0.458,0.839,1,-4.205,1,0.366,0.77,0,0.0488,0.774,83.887,4
spotify:track:4YMc3A256xFBS0xcT77Qce,help herself,help herself,"bbno$,Diamond Pistols",29/01/2021,188571,66,FALSE,,1970-01-01T00:00:00Z,,n/a,0.607,0.851,4,-7.754,0,0.0364,0.623,0.351,0.107,0.479,168.049,4
spotify:track:1mvDFqbbmgmMmU6U4dIq5m,Forbidden Fruit (feat. Kendrick Lamar),Born Sinner (Deluxe Version),"J. Cole,Kendrick Lamar",18/06/2013,268666,66,TRUE,,1970-01-01T00:00:00Z,"rap,hip-hop,hip-hop da Costa Oeste",Roc Nation LLC,0.84,0.504,1,-9.354,1,0.383,0.546,0.00131,0.211,0.406,110.027,4
spotify:track:3x3vUHznzPNEbXTJBUkhZb,Tinoni,Gota D'Espaço,T-Rex,04/09/2020,152000,54,TRUE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Virgin Music Label And Artist Services (S&D),0.952,0.583,11,-7.781,0,0.337,0.17,0,0.101,0.689,121.025,4
spotify:track:5hUv2X0urRF7Nxu2rpzJ8A,Sala 101,V Império,Dealema,01/04/2008,254226,3,TRUE,,1970-01-01T00:00:00Z,hip-hop português,Banzé,0.759,0.586,10,-9.763,0,0.194,0.108,0.0000037,0.0768,0.417,99.019,4
spotify:track:5CRIitZ8zHd6o72zqac6ts,Rodinha,Reflexo,Dillaz,26/05/2016,196360,37,FALSE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Seventy Five,0.888,0.694,6,-10.609,0,0.188,0.29,0,0.0715,0.756,110.007,4
spotify:track:2gyYjQWXKxemhAyMPgctIx,i n t e r l u d e,i n t e r l u d e,J. Cole,07/05/2021,131413,0,TRUE,,1970-01-01T00:00:00Z,rap,"Dreamville, Inc., Under exclusive license to Roc Nation Records",0.604,0.668,1,-3.525,1,0.115,0.11,0,0.407,0.114,100.854,3
spotify:track:5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,10/12/2018,169999,79,TRUE,,1970-01-01T00:00:00Z,"rap melódico,emo rap",Juice WRLD Mixtape / ISR P&D,0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,4
spotify:track:2p0FiOOyKgEp0t3IqlEACs,Snitch,Snitch,Joyner Lucas,21/10/2020,173708,38,TRUE,,1970-01-01T00:00:00Z,,Twenty Nine Music Group,0.651,0.539,7,-9.295,1,0.639,0.192,0,0.146,0.476,87.529,4
spotify:track:78eMR9TUwRIlD66cVDK2DL,1000 Jogos,1000 Jogos,Sippinpurpp,17/12/2020,149553,38,FALSE,,1970-01-01T00:00:00Z,hip-hop português,Sony Music Entertainment,0.633,0.505,8,-8.939,1,0.192,0.679,0.0029,0.108,0.499,91.959,4
spotify:track:70iHFwCFlTVsWYiH6ZGjGX,Resort,Resort,Chico da Tina,07/08/2020,150782,0,TRUE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Sony Music Entertainment,0.723,0.751,1,-7.459,1,0.279,0.451,0.00138,0.107,0.629,155.955,4
spotify:track:6wQlQrTY5mVS8EGaFZVwVF,Smile (with The Weeknd),Legends Never Die,"Juice WRLD,The Weeknd",10/07/2020,196180,71,TRUE,,1970-01-01T00:00:00Z,"rap melódico,emo rap",Grade A Productions/Interscope Records,0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831,4
spotify:track:51Fjme0JiitpyXKuyQiCDo,Lalala,Lalala,"Y2K,bbno$",28/06/2019,160626,75,TRUE,,1970-01-01T00:00:00Z,,Columbia,0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972,4
spotify:track:5EVGgRH4HAJXn5jiCLsBUo,Keep It 100,508-507-2209,Joyner Lucas,16/06/2017,417377,41,TRUE,,1970-01-01T00:00:00Z,,Atlantic Records,0.58,0.911,1,-6.574,1,0.547,0.408,0,0.188,0.528,170.829,4
spotify:track:0FlfN5cbUUpIHCRH8X1M44,t h e . c l i m b . b a c k,Lewis Street,J. Cole,22/07/2020,304640,54,TRUE,,1970-01-01T00:00:00Z,rap,"Dreamville, Inc., Under exclusive license to Roc Nation Records",0.61,0.569,10,-9.447,0,0.345,0.0398,0,0.337,0.287,81.409,4
spotify:track:285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,10/12/2018,239835,86,TRUE,,1970-01-01T00:00:00Z,"rap melódico,emo rap",Juice WRLD Mixtape / ISR P&D,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
spotify:track:0gV5B7zmJkS1aaH9APokrH,Wow Freestyle (feat. Kendrick Lamar),Redemption,"Jay Rock,Kendrick Lamar",15/06/2018,175213,67,TRUE,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste",Top Dawg Ent./Interscope Records,0.782,0.633,8,-4.644,1,0.341,0.0355,0,0.0615,0.749,150.055,4
spotify:track:1NRnwyCNy4Lqp8zMVqBXNX,Homem da Sirene,Homem da Sirene,Dillaz,30/12/2014,311588,0,FALSE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Dillaz,0.77,0.609,2,-8.858,0,0.307,0.372,0,0.113,0.598,173.902,4
spotify:track:1zj5css92Qa4ppHUKkACf9,Não Fui Sincero,Fora D'Horas,Bispo,02/06/2017,254149,38,FALSE,,1970-01-01T00:00:00Z,hip-hop português,Bispo,0.81,0.451,6,-10.303,0,0.305,0.408,0.0072,0.364,0.0894,120.032,4
spotify:track:1PioBX3KlN13IXB014CFF6,Sendo Assim,Mechelas,Sam The Kid,13/10/2018,314133,53,FALSE,,1970-01-01T00:00:00Z,hip-hop português,QUARTO MÁGICO,0.583,0.748,6,-9.601,0,0.29,0.0571,0,0.192,0.0383,95.764,4
spotify:track:5C6XEbFCerxpcfhtJC13Wz,Some (feat. Gson),Some (feat. Gson),"Holly Hood,Gson",13/02/2020,208626,0,FALSE,,1970-01-01T00:00:00Z,hip-hop português,Holly Hood,0.662,0.535,4,-9.243,1,0.254,0.31,0.0123,0.277,0.0655,130.083,4
spotify:track:4UBWvFqfY9lt38Ta3AKTEg,Eu Estou Bem,Reflexo,"Dillaz,Vulto",26/05/2016,293253,45,FALSE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Seventy Five,0.86,0.393,7,-9.217,1,0.149,0.312,0.0000103,0.115,0.424,93.477,4
spotify:track:6DQFblyvIB02Z0achidinj,Zé Maluco,Hibrido,Allen Halloween,18/08/2015,228496,43,FALSE,,1970-01-01T00:00:00Z,hip-hop português,2015 HALLOWEEN,0.627,0.583,9,-6.179,1,0.135,0.703,0.0000419,0.13,0.378,81.996,4
spotify:track:7mqsxwStKglgcXDlydvi0f,Retrospectiva de um amor profundo,Pratica(mente) [Re-edição],Sam The Kid,05/05/2008,474462,23,FALSE,,1970-01-01T00:00:00Z,hip-hop português,Sam The Kid,0.773,0.532,2,-7.115,0,0.312,0.733,0,0.122,0.706,95.164,4
spotify:track:7M2tXmeS15NAzEn7ABFeBg,Homicide (feat. Eminem),Confessions of a Dangerous Mind,"Logic,Eminem",10/05/2019,245386,72,TRUE,,1970-01-01T00:00:00Z,"rap,hip-hop",Def Jam Recordings,0.695,0.758,10,-5.667,0,0.398,0.137,0,0.167,0.769,140.056,4
spotify:track:6iAIfWMqkou04ikPjmOVG0,Caminho Errado,Reflexo,Dillaz,26/05/2016,236560,41,FALSE,,1970-01-01T00:00:00Z,"hip-hop português,punta",Seventy Five,0.492,0.375,5,-11.916,0,0.404,0.836,0.00101,0.113,0.247,74.934,4
spotify:track:1eLSF6HfrRA0AsNmTkUlKx,King's Dead (with Kendrick Lamar Future & James Blake),Black Panther The Album Music From And Inspired By,"Jay Rock,Kendrick Lamar,Future,James Blake",09/02/2018,225266,62,TRUE,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste,rap",Black Panther (TDE/DMG) PS,0.566,0.724,1,-4.573,1,0.323,0.00104,0,0.158,0.408,81.772,4
